dates,prices
2019-09-16,70.02
2019-09-17,69.705
2019-09-18,69.685
2019-09-19,70.115
2019-09-20,69.885
2019-09-23,69.755
2019-09-24,69.595
2019-09-25,69.62
2019-09-26,69.42
2019-09-27,69.975
2019-09-30,69.88
2019-10-01,69.735
2019-10-02,67.92
2019-10-03,67.535
2019-10-04,68.775
2019-10-07,69.065
2019-10-08,68.735
2019-10-09,69.0
2019-10-10,69.02
2019-10-11,68.28
2019-10-14,68.37
2019-10-15,68.19
2019-10-16,67.67
2019-10-17,67.695
2019-10-18,67.46
2019-10-21,67.185
2019-10-22,67.515
2019-10-23,67.705
2019-10-24,68.215
2019-10-25,68.45
2019-10-28,68.615
2019-10-29,68.53
2019-10-30,68.445
2019-10-31,68.005
2019-11-01,68.625
2019-11-04,69.34
2019-11-05,69.47
2019-11-06,69.465
2019-11-07,70.12
2019-11-08,70.005
2019-11-11,69.535
2019-11-12,69.92
2019-11-13,69.575
2019-11-14,69.39
2019-11-15,69.84
2019-11-18,69.535
2019-11-19,69.705
2019-11-20,69.67
2019-11-21,69.4
2019-11-22,69.9
2019-11-25,70.075
2019-11-26,70.47
2019-11-27,70.415
2019-11-28,70.35
2019-11-29,70.0
2019-12-02,69.35
2019-12-03,68.37
2019-12-04,68.65
2019-12-05,68.405
2019-12-06,69.25
2019-12-09,68.955
2019-12-10,68.745
2019-12-11,68.835
2019-12-12,69.425
2019-12-13,68.465
2019-12-16,69.39
2019-12-17,70.33
2019-12-18,70.67
2019-12-19,71.05
2019-12-20,71.285
2019-12-23,71.97
2019-12-24,71.875
2019-12-27,71.54
2019-12-30,70.94
2019-12-31,70.56
2020-01-02,71.33
2020-01-03,71.395
2020-01-06,70.87
2020-01-07,71.325
2020-01-08,71.54
2020-01-09,72.065
2020-01-10,72.27
2020-01-13,72.745
2020-01-14,72.8
2020-01-15,72.785
2020-01-16,72.75
2020-01-17,73.28
2020-01-20,73.43
2020-01-21,72.995
2020-01-22,72.55
2020-01-23,72.08
2020-01-24,72.59
2020-01-27,70.965
2020-01-28,72.02
2020-01-29,72.145
2020-01-30,70.835
2020-01-31,69.88
2020-02-03,71.195
2020-02-04,72.245
2020-02-05,72.92
2020-02-06,73.585
2020-02-07,73.4
2020-02-10,73.34
2020-02-11,73.8
2020-02-12,73.94
2020-02-13,73.33
2020-02-14,73.415
2020-02-17,73.71
2020-02-18,72.975
2020-02-19,74.065
2020-02-20,73.755
2020-02-21,73.0
2020-02-24,70.81
2020-02-25,69.405
2020-02-26,69.85
2020-02-27,67.72
2020-02-28,65.575
2020-03-02,67.38
2020-03-03,67.74
2020-03-04,68.4
2020-03-05,67.835
2020-03-06,64.93
2020-03-09,60.82
2020-03-10,61.155
2020-03-11,61.26
2020-03-12,56.425
2020-03-13,57.96
2020-03-16,56.705
2020-03-17,57.84
2020-03-18,56.54
2020-03-19,57.595
2020-03-20,56.965
2020-03-23,55.56
2020-03-24,58.875
2020-03-25,60.48
2020-03-26,60.395
2020-03-27,57.755
2020-03-30,58.86
2020-03-31,59.36
2020-04-01,56.865
2020-04-02,57.34
2020-04-03,57.255
2020-04-06,59.635
2020-04-07,61.575
2020-04-08,60.865
2020-04-09,62.225
2020-04-14,62.12
2020-04-15,61.14
2020-04-16,61.98
2020-04-17,62.61
2020-04-20,63.29
2020-04-21,61.575
2020-04-22,62.66
2020-04-23,63.27
2020-04-24,62.62
2020-04-27,63.735
2020-04-28,64.08
2020-04-29,65.41
2020-04-30,63.97
2020-05-01,62.59
2020-05-04,62.605
2020-05-05,63.885
2020-05-06,63.95
2020-05-07,64.7
2020-05-11,65.4
2020-05-12,65.74
2020-05-13,64.655
2020-05-14,63.67
2020-05-15,64.58
2020-05-18,66.8
2020-05-19,66.74
2020-05-20,67.185
2020-05-21,66.5
2020-05-22,66.49
2020-05-26,67.52
2020-05-27,67.845
2020-05-28,68.62
2020-05-29,67.705
2020-06-01,68.025
2020-06-02,68.38
2020-06-03,69.53
2020-06-04,69.43
2020-06-05,70.68
2020-06-08,70.745
2020-06-09,70.41
2020-06-10,70.07
2020-06-11,67.91
2020-06-12,67.54
2020-06-15,67.25
2020-06-16,69.09
2020-06-17,69.575
2020-06-18,69.95
2020-06-19,70.69
2020-06-22,69.835
2020-06-23,70.47
2020-06-24,69.015
2020-06-25,69.115
2020-06-26,69.14
2020-06-29,69.77
2020-06-30,69.68
2020-07-01,69.535
2020-07-02,70.535
2020-07-03,70.32
2020-07-06,71.625
2020-07-07,70.985
2020-07-08,70.375
2020-07-09,69.855
2020-07-10,70.305
2020-07-13,71.855
2020-07-14,70.99
2020-07-15,71.925
2020-07-16,71.38
2020-07-17,72.02
2020-07-20,71.845
2020-07-21,72.105
2020-07-22,71.89
2020-07-23,72.04
2020-07-24,70.66
2020-07-27,70.57
2020-07-28,70.485
2020-07-29,70.49
2020-07-30,69.41
2020-07-31,68.93
2020-08-03,70.35
2020-08-04,70.44
2020-08-05,70.84
2020-08-06,70.58
2020-08-07,71.075
2020-08-10,70.98
2020-08-11,71.8
2020-08-12,72.36
2020-08-13,72.21
2020-08-14,71.73
2020-08-17,72.14
2020-08-18,71.46
2020-08-19,71.875
2020-08-20,71.355
2020-08-21,71.82
2020-08-24,72.745
2020-08-25,72.705
2020-08-26,72.85
2020-08-27,73.07
2020-08-28,72.425
2020-09-01,72.06
2020-09-02,73.25
2020-09-03,72.08
2020-09-04,70.655
2020-09-07,72.205
2020-09-08,71.745
2020-09-09,72.605
2020-09-10,73.585
2020-09-11,73.3
2020-09-14,73.635
2020-09-15,74.25
2020-09-16,73.655
2020-09-17,72.955
2020-09-18,72.63
2020-09-21,71.185
2020-09-22,72.17
2020-09-23,72.31
2020-09-24,70.995
2020-09-25,71.45
2020-09-28,72.23
2020-09-29,72.08
2020-09-30,72.305
2020-10-01,72.655
2020-10-02,72.095
2020-10-05,72.66
2020-10-06,72.925
2020-10-07,73.245
2020-10-08,73.67
2020-10-09,73.92
2020-10-12,74.46
2020-10-13,74.755
2020-10-14,74.335
2020-10-15,73.76
2020-10-16,74.53
2020-10-19,73.91
2020-10-20,73.73
2020-10-21,72.58
2020-10-22,72.755
2020-10-23,73.2
2020-10-26,72.19
2020-10-27,72.04
2020-10-28,70.525
2020-10-29,70.82
2020-10-30,70.11
2020-11-02,71.205
2020-11-03,71.825
2020-11-04,73.845
2020-11-05,74.48
2020-11-06,74.03
2020-11-09,76.335
2020-11-10,74.905
2020-11-11,75.59
2020-11-12,75.78
2020-11-13,75.61
2020-11-16,76.695
2020-11-17,76.225
2020-11-18,76.205
2020-11-19,75.845
2020-11-20,75.73
2020-11-23,75.72
2020-11-24,76.62
2020-11-25,76.43
2020-11-26,76.81
2020-11-27,77.31
2020-11-30,76.03
2020-12-01,76.925
2020-12-02,77.41
2020-12-03,77.025
2020-12-04,77.455
2020-12-07,78.17
2020-12-08,78.125
2020-12-09,77.99
2020-12-10,78.38
2020-12-11,78.265
2020-12-14,78.21
2020-12-15,77.55
2020-12-16,77.83
2020-12-17,77.475
2020-12-18,77.8
2020-12-21,77.66
2020-12-22,78.135
2020-12-23,77.66
2020-12-24,77.19
2020-12-29,78.495
2020-12-30,78.165
2020-12-31,77.725
2021-01-04,77.87
2021-01-05,77.96
2021-01-06,79.275
2021-01-07,79.81
2021-01-08,80.25
2021-01-11,80.465
2021-01-12,79.69
2021-01-13,79.81
2021-01-14,79.88
2021-01-15,79.455
