dates,prices
2020-06-02,42.3525
2020-06-03,43.1975
2020-06-04,42.7225
2020-06-05,43.6
2020-06-08,43.2825
2020-06-09,43.155
2020-06-10,43.1925
2020-06-11,42.1675
2020-06-12,42.38
2020-06-15,41.99
2020-06-16,42.6675
2020-06-17,43.095
2020-06-18,43.5725
2020-06-19,44.045
2020-06-22,43.9025
2020-06-23,44.3175
2020-06-24,43.7325
2020-06-25,43.84
2020-06-26,43.75
2020-06-29,44.08
2020-06-30,43.7075
2020-07-01,43.72
2020-07-02,44.7975
2020-07-03,45.2475
2020-07-06,46.6925
2020-07-07,46.15
2020-07-08,46.475
2020-07-09,46.63
2020-07-10,46.4075
2020-07-13,47.17
2020-07-14,46.25
2020-07-15,46.385
2020-07-16,45.63
2020-07-17,46.185
2020-07-20,46.305
2020-07-21,46.7625
2020-07-22,46.3275
2020-07-23,46.445
2020-07-24,45.62
2020-07-27,45.805
2020-07-28,45.615
2020-07-29,45.8
2020-07-30,44.94
2020-07-31,44.55
2020-08-03,45.2
2020-08-04,45.3775
2020-08-05,45.9075
2020-08-06,45.54
2020-08-07,45.3175
2020-08-10,44.895
2020-08-11,45.305
2020-08-12,45.635
2020-08-13,45.395
2020-08-14,45.31
2020-08-17,45.735
2020-08-18,45.405
2020-08-19,45.405
2020-08-20,44.7425
2020-08-21,45.55
2020-08-24,46.0875
2020-08-25,46.315
2020-08-26,46.2725
2020-08-27,45.94
2020-08-28,45.97
2020-09-01,45.47
2020-09-02,45.78
2020-09-03,45.125
2020-09-04,44.965
2020-09-07,45.315
2020-09-08,45.3575
2020-09-09,45.7125
2020-09-10,46.3125
2020-09-11,46.565
2020-09-14,46.6675
2020-09-15,47.325
2020-09-16,46.9975
2020-09-17,46.655
2020-09-18,46.6475
2020-09-21,45.9275
2020-09-22,46.1375
2020-09-23,45.935
2020-09-24,44.91
2020-09-25,44.775
2020-09-28,44.99
2020-09-29,44.955
2020-09-30,45.39
2020-10-01,45.8375
2020-10-02,45.6125
2020-10-05,45.58
2020-10-06,46.09
2020-10-07,46.485
2020-10-08,46.625
2020-10-09,46.895
2020-10-12,47.08
2020-10-13,47.16
2020-10-14,47.1325
2020-10-15,46.645
2020-10-16,47.0025
2020-10-19,46.9475
2020-10-20,47.215
2020-10-21,46.745
2020-10-22,46.93
2020-10-23,46.9375
2020-10-26,46.82
2020-10-27,46.8625
2020-10-28,46.18
2020-10-29,46.495
2020-10-30,46.04
2020-11-02,46.6325
2020-11-03,46.2875
2020-11-04,47.92
2020-11-05,48.28
2020-11-06,48.1675
2020-11-09,49.43
2020-11-10,47.98
2020-11-11,48.1325
2020-11-12,48.73
2020-11-13,48.405
2020-11-16,49.1675
2020-11-17,48.68
2020-11-18,48.835
2020-11-19,48.825
2020-11-20,48.98
2020-11-23,49.025
2020-11-24,49.21
2020-11-25,48.92
2020-11-26,49.3525
2020-11-27,49.685
2020-11-30,48.4875
2020-12-01,49.09
2020-12-02,49.38
2020-12-03,49.4875
2020-12-04,49.7375
2020-12-07,50.3375
2020-12-08,50.35
2020-12-09,49.9425
2020-12-10,50.65
2020-12-11,50.7025
2020-12-14,50.115
2020-12-15,49.81
2020-12-16,50.05
2020-12-17,49.985
2020-12-18,50.445
2020-12-21,50.26
2020-12-22,49.9375
2020-12-23,49.755
2020-12-24,49.275
2020-12-29,50.01
2020-12-30,50.4325
2020-12-31,50.435
2021-01-04,50.8
2021-01-05,51.2375
2021-01-06,51.6425
2021-01-07,51.5325
2021-01-08,52.58
2021-01-11,52.6025
2021-01-12,52.65
2021-01-13,52.56
2021-01-14,53.27
2021-01-15,52.9425
2021-01-18,53.4425
2021-01-19,53.69
2021-01-20,54.4425
2021-01-21,54.2275
2021-01-22,53.9
2021-01-25,54.0525
2021-01-26,53.55
